,0,1
1196,other,other
1197,other,other
1198,other,other
1199,other,other
1200,other,other
1201,other,other
1202,other,other
1203,other,other
1204,other,other
1205,other,other
1206,other,other
1207,other,other
1208,other,other
1209,other,other
1210,other,other
1211,other,other
1212,other,other
1213,other,other
1214,other,other
1215,other,other
1216,other,other
1217,other,other
1218,other,other
1219,other,other
1220,other,other
1221,other,other
1222,other,other
1223,other,other
1224,other,other
1225,other,other
1226,other,other
1227,other,other
1228,other,other
1229,other,other
1230,other,other
1231,other,other
1232,"Adhfe1+,Crym+,Ifitm3+","Adhfe1+,Crym+,Ifitm3+"
1233,other,other
1234,other,other
1235,other,other
1236,other,other
1237,other,other
1238,other,other
1239,other,other
1240,other,other
1241,other,other
1242,other,other
1243,other,other
1244,other,other
1245,other,other
1246,other,other
1247,other,other
1248,other,other
1249,other,other
1250,other,other
1251,other,other
1252,other,other
1253,other,other
1254,other,other
1255,other,other
1256,other,other
1257,other,other
1258,other,other
1259,other,other
1260,other,other
1261,other,other
1262,other,other
1263,other,other
1264,other,other
1265,other,other
1266,other,other
1267,other,other
1268,other,other
1269,other,other
1270,other,other
1271,other,other
1272,other,other
1273,other,other
1274,other,other
1275,other,other
1276,other,other
1277,other,other
1278,other,other
1279,blood,blood
1280,other,other
1281,other,other
1282,other,other
1283,other,other
1284,other,other
1285,other,other
1286,other,other
1287,other,other
1288,other,other
1289,other,other
1290,other,other
1291,other,other
1292,other,other
1293,other,other
1294,other,other
1295,blood,blood
1296,other,other
1297,other,other
1298,other,other
1299,other,other
1300,other,other
1301,other,other
1302,other,other
1303,other,other
1304,other,other
1305,other,other
1306,other,other
1307,other,other
1308,other,other
1309,other,other
1310,other,other
1311,other,other
1312,other,other
1313,other,other
1314,other,other
1315,other,other
1316,other,other
1317,other,other
1318,other,other
1319,other,other
1320,other,other
1321,other,other
1322,other,other
1323,other,other
1324,other,other
1325,other,other
1326,other,other
1327,other,other
1328,other,other
1329,"Adhfe1+,Crym+,Ifitm3+","Adhfe1+,Crym+,Ifitm3+"
1330,other,other
1331,other,other
1332,other,other
1333,other,other
1334,other,other
1335,other,other
1336,other,other
1337,other,other
1338,other,other
1339,other,other
1340,blood,blood
1341,other,other
1342,other,other
1343,other,other
1344,other,other
1345,other,other
1346,other,other
1347,other,other
1348,other,other
1349,blood,blood
1350,other,other
1351,other,other
1352,other,other
1353,other,other
1354,other,other
1355,other,other
1356,other,other
1357,other,other
1358,blood,blood
1359,other,other
1360,other,other
1361,other,other
1362,other,other
1363,other,other
1364,other,other
1365,other,other
1366,other,other
1367,other,other
1368,other,other
1369,other,other
1370,other,other
1371,blood,blood
1372,other,other
1373,other,other
1374,other,other
1375,other,other
1376,other,other
1377,other,other
1378,other,other
1379,other,other
1380,other,other
1381,other,other
1382,other,other
1383,other,other
1384,other,other
1385,other,other
1386,other,other
1387,other,other
1388,other,other
1389,other,other
1390,other,other
1391,other,other
1392,other,other
1393,other,other
1394,other,other
1395,other,other
1396,other,other
1397,other,other
1398,other,other
1399,other,other
1400,other,other
1401,other,other
1402,other,other
1403,other,other
1404,other,other
1405,other,other
1406,other,other
1407,other,other
1408,other,other
1409,other,other
1410,other,other
1411,other,other
1412,other,other
1413,other,other
1414,other,other
1415,other,other
1416,other,other
1417,other,other
1418,other,other
1419,other,other
1420,other,other
1421,other,other
1422,other,other
1423,other,other
1424,other,other
1425,other,other
1426,other,other
1427,other,other
1428,other,other
1429,other,other
1430,other,other
1431,other,other
1432,other,other
1433,other,other
1434,other,other
1435,other,other
1436,other,other
1437,other,other
1438,other,other
1439,other,other
1440,other,other
1441,other,other
1442,other,other
1443,other,other
1444,other,other
1445,other,other
1446,other,other
1447,other,other
1448,other,other
1449,other,other
1450,other,other
1451,other,other
1452,other,other
1453,other,other
1454,other,other
1455,other,other
1456,other,other
1457,other,other
1458,other,other
1459,other,other
