,Symbol,GeneID,Name,Species,# PPI ,Type
,Erf,13875,Ets2 repressor factor,mouse,0,TF
,Erg,13876,avian erythroblastosis virus E-26 (v-ets) oncogene related,mouse,1,TF
,Esr1,13982,estrogen receptor 1 (alpha),mouse,5,TF
,Esr2,13983,estrogen receptor 2 (beta),mouse,1,TF
,Esrra,26379,"estrogen related receptor, alpha",mouse,3,TF
,Esrrb,26380,"estrogen related receptor, beta",mouse,35,TF
,Esrrg,26381,estrogen-related receptor gamma,mouse,0,TF
,Esx1,13984,"extraembryonic, spermatogenesis, homeobox 1",mouse,0,TF
,Ets1,23871,"E26 avian leukemia oncogene 1, 5' domain",mouse,0,TF
,Ets2,23872,"E26 avian leukemia oncogene 2, 3' domain",mouse,0,TF
,Etv1,14009,ets variant 1,mouse,0,TF
,Etv2,14008,ets variant 2,mouse,0,TF
,Etv3,27049,ets variant 3,mouse,0,TF
,Etv3l,546801,ets variant 3-like,mouse,0,TF
,Etv4,18612,ets variant 4,mouse,0,TF
,Etv5,104156,ets variant 5,mouse,0,TF
,Etv6,14011,ets variant 6,mouse,0,TF
,Evx1,14028,even-skipped homeobox 1,mouse,0,TF
,Evx2,14029,even-skipped homeobox 2,mouse,0,TF
,Ezh1,14055,enhancer of zeste 1 polycomb repressive complex 2 subunit,mouse,3,TF
,Ezh2,14056,enhancer of zeste 2 polycomb repressive complex 2 subunit,mouse,21,TF
,Fam170a,225497,"family with sequence similarity 170, member A",mouse,0,TF
,Ferd3l,114712,Fer3-like (Drosophila),mouse,0,TF
,Fev,260298,FEV (ETS oncogene family),mouse,0,TF
,Fezf1,73191,Fez family zinc finger 1,mouse,0,TF
,Fezf2,54713,Fez family zinc finger 2,mouse,0,TF
,Figla,26910,folliculogenesis specific basic helix-loop-helix,mouse,0,TF
,Fiz1,23877,Flt3 interacting zinc finger protein 1,mouse,2,TF
,Fli1,14247,Friend leukemia integration 1,mouse,0,TF
,Fos,14281,FBJ osteosarcoma oncogene,mouse,4,TF
,Fosb,14282,FBJ osteosarcoma oncogene B,mouse,1,TF
,Fosl1,14283,fos-like antigen 1,mouse,0,TF
,Fosl2,14284,fos-like antigen 2,mouse,0,TF
,Foxa1,15375,forkhead box A1,mouse,0,TF
,Foxa2,15376,forkhead box A2,mouse,0,TF
,Foxa3,15377,forkhead box A3,mouse,0,TF
,Foxb1,64290,forkhead box B1,mouse,0,TF
,Foxb2,14240,forkhead box B2,mouse,0,TF
,Foxc1,17300,forkhead box C1,mouse,1,TF
,Foxc2,14234,forkhead box C2,mouse,0,TF
,Foxd1,15229,forkhead box D1,mouse,0,TF
,Foxd2,17301,forkhead box D2,mouse,0,TF
,Foxd3,15221,forkhead box D3,mouse,0,TF
,Foxd4,14237,forkhead box D4,mouse,0,TF
,Foxe1,110805,forkhead box E1,mouse,0,TF
,Foxe3,30923,forkhead box E3,mouse,0,TF
,Foxf1,15227,forkhead box F1,mouse,0,TF
,Foxf2,14238,forkhead box F2,mouse,0,TF
,Foxg1,15228,forkhead box G1,mouse,1,TF
,Foxh1,14106,forkhead box H1,mouse,0,TF
,Foxi1,14233,forkhead box I1,mouse,0,TF
,Foxi2,270004,forkhead box I2,mouse,0,TF
,Foxi3,232077,forkhead box I3,mouse,0,TF
,Foxj1,15223,forkhead box J1,mouse,0,TF
,Foxj2,60611,forkhead box J2,mouse,0,TF
,Foxj3,230700,forkhead box J3,mouse,0,TF
,Foxk1,17425,forkhead box K1,mouse,0,TF
,Foxk2,68837,forkhead box K2,mouse,0,TF
,Foxl1,14241,forkhead box L1,mouse,0,TF
,Foxl2,26927,forkhead box L2,mouse,0,TF
,Foxm1,14235,forkhead box M1,mouse,0,TF
,Foxn1,15218,forkhead box N1,mouse,0,TF
,Foxn2,14236,forkhead box N2,mouse,0,TF
,Foxn3,71375,forkhead box N3,mouse,0,TF
,Foxn4,116810,forkhead box N4,mouse,0,TF
,Foxo1,56458,forkhead box O1,mouse,1,TF
,Foxo3,56484,forkhead box O3,mouse,1,TF
,Foxo4,54601,forkhead box O4,mouse,0,TF
,Foxo6,329934,forkhead box O6,mouse,0,TF
,Foxp1,108655,forkhead box P1,mouse,3,TF
