Symbol1,GeneID1,Type1,Symbol1,GeneID1,Type1,Species,PMID,Source,Experiment,Interaction_type,DB
Arntl,11865,TF,Clock,12753,TF,mouse,20832105,EBI-2931519,0914:association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,20832105,EBI-2931526,0914:association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,20832105,EBI-2931533,0914:association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,20832105,EBI-2931582,0914:association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,20832105,EBI-2931588,0914:association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,20840750,EBI-4408815,0915:physical association,0018:two hybrid,intact
Arntl,11865,TF,Clock,12753,TF,mouse,22441692,EBI-7795142,0915:physical association,0006:anti bait coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,23555304,EBI-6145141,0915:physical association,0018:two hybrid,intact
Arntl,11865,TF,Clock,12753,TF,mouse,23555304,EBI-6146523,0915:physical association,0007:anti tag coimmunoprecipitation,intact
Arntl,11865,TF,Clock,12753,TF,mouse,9704006,818716,0407:direct interaction,0018:two hybrid,biogrid
Arntl,11865,TF,Clock,12753,TF,mouse,9704006,EBI-2291680,0915:physical association,0018:two hybrid,intact
Arntl,11865,TF,Dbp,13170,TF,mouse,21113167,568395,0915:physical association,0004:affinity chromatography technology,biogrid
Arntl,11865,TF,Epas1,13819,TF,mouse,20211142,469355,0407:direct interaction,0018:two hybrid,biogrid
Arntl,11865,TF,Ezh2,14056,TF,mouse,16717091,477888,0915:physical association,0004:affinity chromatography technology,biogrid
Arntl,11865,TF,Ezh2,14056,TF,mouse,16717091,477894,0915:physical association,0004:affinity chromatography technology,biogrid
Arntl,11865,TF,Hif1a,15251,TF,mouse,20211142,469356,0407:direct interaction,0018:two hybrid,biogrid
Arntl,11865,TF,Hif1a,15251,TF,mouse,9704006,818715,0407:direct interaction,0018:two hybrid,biogrid
Arntl,11865,TF,Hif1a,15251,TF,mouse,9704006,818724,0407:direct interaction,0018:two hybrid,biogrid
Arntl,11865,TF,Hlf,217082,TF,mouse,9704006,EBI-2291698,0915:physical association,0018:two hybrid,intact
