"","Gene"
"4417","Eif6"
"4418","Elac1"
"4421","Elavl1"
"4422","Elavl1"
"4434","Elk1"
"4437","Ell"
"4443","Elmod2"
"4449","Elof1"
"4453","Elovl5"
"4455","Elp2"
"4456","Elp3"
"4458","Elp5"
"4462","Emc10"
"4463","Emc10"
"4466","Emc2"
"4467","Emc3"
"4468","Emc4"
"4469","Emc6"
"4470","Emc7"
"4471","Emc8"
"4472","Emc8"
"4479","Emd"
"4480","Emd"
"4481","Eme2"
"4482","Emg1"
"4492","Eml3"
"4500","Emsy"
"4501","Emsy"
"4534","Ensa"
"4535","Ensa"
"4543","Entpd6"
"4545","Eny2"
"4547","Ep300"
"4560","Epc1"
"4565","Epg5"
"4577","Epn1"
"4578","Epn1"
"4587","Eps15l1"
"4590","Eral1"
"4603","Ercc3"
"4605","Ercc5"
"4612","Ergic1"
"4613","Ergic2"
"4614","Ergic2"
"4621","Ergic3"
"4623","Erh"
"4624","Erh"
"4627","Eri1"
"4630","Eri3"
"4635","Erich1"
"4636","Erlec1"
"4638","Erlin2"
"4639","Ermard"
"4640","Ermp1"
"4644","Erp29"
"4645","Erp29"
"4648","Erp44"
"4666","Etf1"
"4696","Ewsr1"
"4701","Exd2"
"4702","Exoc1"
"4704","Exoc2"
"4705","Exoc3"
"4708","Exoc4"
"4709","Exoc5"
"4713","Exoc7"
"4717","Exoc8"
"4720","Exosc1"
"4726","Exosc2"
"4727","Exosc4"
"4729","Exosc7"
"4732","Exosc9"
"4734","Ext2"
"4737","Extl2"
"4753","Faap20"
"4754","Faap20"
"4762","Fadd"
"4766","Faf1"
"4767","Faf2"
"4768","Faf2"
"4774","Fam104a"
"4782","Fam114a2"
"4785","Fam117b"
"4789","Fam120a"
"4790","Fam120b"
"4793","Fam122a"
"4795","Fam126a"
"4802","Fam133b"
"4805","Fam136a"
"4808","Fam13b"
"4813","Fam149b"
"4814","Fam149b"
"4824","Fam160b1"
"4825","Fam160b2"
"4829","Fam168a"
"4832","Fam168b"
"4833","Fam168b"
"4842","Fam173b"
"4848","Fam192a"
"4849","Fam193a"
"4850","Fam193b"
"4856","Fam204a"
"4857","Fam206a"
"4858","Fam207a"
"4863","Fam20b"
"4864","Fam20b"
"4889","Fam219b"
"4890","Fam219b"
"4901","Fam32a"
"4907","Fam45a"
"4908","Fam45a"
"4913","Fam49b"
"4914","Fam49b"
