"","Gene"
"16466","Zc3h7b"
"16469","Zc3hc1"
"16470","Zcchc10"
"16480","Zcchc4"
"16481","Zcchc4"
"16486","Zcchc7"
"16492","Zdhhc13"
"16495","Zdhhc16"
"16496","Zdhhc17"
"16498","Zdhhc18"
"16501","Zdhhc20"
"16503","Zdhhc3"
"16504","Zdhhc4"
"16505","Zdhhc5"
"16506","Zdhhc6"
"16507","Zdhhc7"
"16508","Zdhhc8"
"16509","Zdhhc8"
"16531","Zfand6"
"16532","Zfand6"
"16536","Zfp1"
"16537","Zfp101"
"16538","Zfp101"
"16542","Zfp106"
"16545","Zfp110"
"16561","Zfp146"
"16562","Zfp148"
"16563","Zfp148"
"16570","Zfp157"
"16574","Zfp174"
"16575","Zfp180"
"16586","Zfp207"
"16587","Zfp207"
"16596","Zfp212"
"16598","Zfp213"
"16600","Zfp235"
"16601","Zfp236"
"16603","Zfp24"
"16622","Zfp277"
"16623","Zfp277"
"16627","Zfp280b"
"16631","Zfp282"
"16633","Zfp3"
"16636","Zfp316"
"16637","Zfp317"
"16638","Zfp318"
"16639","Zfp318"
"16642","Zfp319"
"16649","Zfp330"
"16652","Zfp346"
"16653","Zfp35"
"16658","Zfp362"
"16661","Zfp369"
"16674","Zfp39"
"16681","Zfp407"
"16682","Zfp410"
"16685","Zfp426"
"16689","Zfp438"
"16691","Zfp444"
"16692","Zfp444"
"16698","Zfp451"
"16703","Zfp46"
"16707","Zfp472"
"16710","Zfp511"
"16712","Zfp512"
"16714","Zfp512b"
"16715","Zfp513"
"16716","Zfp513"
"16724","Zfp53"
"16728","Zfp553"
"16735","Zfp574"
"16738","Zfp592"
"16739","Zfp593"
"16741","Zfp598"
"16748","Zfp609"
"16751","Zfp619"
"16755","Zfp623"
"16766","Zfp639"
"16767","Zfp639"
"16776","Zfp64"
"16785","Zfp646"
"16786","Zfp646"
"16790","Zfp655"
"16796","Zfp668"
"16801","Zfp68"
"16802","Zfp68"
"16809","Zfp687"
"16811","Zfp689"
"16820","Zfp706"
"16821","Zfp709"
"16826","Zfp719"
"16828","Zfp729b"
"16829","Zfp740"
"16832","Zfp747"
"16833","Zfp748"
"16842","Zfp777"
"16844","Zfp780b"
"16846","Zfp787"
"16857","Zfp809"
"16858","Zfp81"
"16859","Zfp810"
"16861","Zfp821"
"16863","Zfp830"
"16865","Zfp84"
"16866","Zfp865"
"16870","Zfp868"
"16872","Zfp87"
"16879","Zfp90"
"16880","Zfp91"
"16894","Zfp954"
"16899","Zfp994"
"16900","Zfpl1"
"16901","Zfpl1"
"16906","Zfyve1"
"16908","Zfyve19"
"16909","Zfyve19"
"16910","Zfyve21"
"16911","Zfyve26"
"16912","Zfyve27"
"16913","Zfyve27"
"16920","Zhx3"
"16924","Zkscan14"
"16927","Zkscan3"
"16928","Zkscan3"
"16939","Zmat2"
"16944","Zmiz1"
"16945","Zmiz2"
"16946","Zmiz2"
"16947","Zmiz2"
"16954","Zmpste24"
"16958","Zmym4"
"16970","Zmynd19"
"16971","Zmynd19"
"16974","Zmynd8"
"16975","Zmynd8"
"16976","Zmynd8"
"16985","Znhit6"
"16986","Znhit6"
"16991","Znrf1"
"16992","Znrf1"
"16993","Znrf1"
"17003","Znrf2"
"17004","Znrf3"
"17005","Znrf3"
"17008","Zpr1"
"17009","Zpr1"
"17012","Zranb1"
"17014","Zranb2"
"17015","Zranb2"
"17020","Zrsr1"
"17021","Zrsr2"
"17022","Zrsr2"
"17030","Zscan26"
"17032","Zscan29"
"17033","Zscan29"
"17036","Zswim1"
"17037","Zswim3"
"17041","Zswim8"
"17042","Zw10"
"17043","Zwint"
"17044","Zwint"
"17045","Zwint"
"17052","Zxdb"
"17053","Zxdc"
"17054","Zxdc"
"17055","Zxdc"
"17059","Zyg11b"
